image_id,color_variance,color_min,color_max,color_median,color_mean
ISIC_0015483,8140010445414.526,3377551.0331262574,13412356.842392176,6147143.85327645,6147143.85327645
ISIC_0012547,2190523236327.9077,2067357.630536251,6270945.590345416,3381601.0053780107,3381601.0053780107
ISIC_0012684,16784277571505.863,49.033590564271734,13154798.017737808,5352677.238092433,5352677.238092433
ISIC_0012160,255722516367.7935,2541810.070817625,4262656.721087195,3523776.6277412944,3523776.6277412944
ISIC_0012201,1011658612354.6655,2932727.8049232312,6165768.3961235415,3790439.148279377,3790439.148279377
ISIC_0014038,673412769333.5115,3080025.228535775,5730557.0851691,4067693.9497645106,4067693.9497645106
ISIC_0014302,2117556195495.7776,3013833.2711841655,8381826.181539004,6179877.425327863,6179877.425327863
ISIC_0012306,5785276174304.04,3395604.3274042457,8676106.035906559,4382834.209960869,4382834.209960869
ISIC_0013632,1057244221326.4653,2939952.7561361142,6096694.722598525,4171633.8728170185,4171633.8728170185
ISIC_0014211,596859971687.585,2626130.3089479045,5078640.24418618,3922218.296353201,3922218.296353201
ISIC_0014608,1243894717229.1858,2250709.8966962667,5087575.105092758,3533033.9805787764,3533033.9805787764
ISIC_0001852,6702757975158.014,3031685.5040452033,11335761.51320577,5455627.98625915,5455627.98625915
ISIC_0013215,343083589667.18225,3079790.8724612556,5034135.0208101,4313323.557942511,4313323.557942511
ISIC_0015211,17929981944360.76,3154846.47766147,14741992.837930884,5412085.193985353,5412085.193985353
ISIC_0014857,2116870723149.2466,1239574.7614843135,6235781.446996101,3645061.524755031,3645061.524755031
ISIC_0014037,5564700639937.18,2224259.138668644,10679225.84456823,4628145.750618657,4628145.750618657
ISIC_0013793,819594185234.0189,2205886.747868291,4492716.612938037,3612699.562106617,3612699.562106617
ISIC_0014931,12433500828994.674,2103146.084192225,13283650.003479784,4782494.450358766,4782494.450358766
ISIC_0007332,488509239279.3359,3381413.611699546,5852235.55566475,4431679.799000874,4431679.799000874
ISIC_0007235,1161404312074.9097,3218472.8160360283,6585887.757602141,4019383.693012107,4019383.693012107
