image_id,color_variance,color_min,color_max,color_median,color_mean
ISIC_0009993,996844018543.839,3375736.5881889695,6260513.805951527,5057068.71566103,5057068.71566103
ISIC_0014120,239855550478.28534,3057782.908732603,4599425.275229296,3750833.968445499,3750833.968445499
ISIC_0011155,1657494490639.3416,2827107.904630804,6539933.365123065,4408148.160113837,4408148.160113837
ISIC_0012721,4728652110991.206,2954800.686864958,10201807.81692525,3881692.512176024,3881692.512176024
ISIC_0009975,3440754578263.537,998329.8839582384,6840302.683246471,2867428.039180961,2867428.039180961
ISIC_0000104,2527512706434.916,3916491.3700746964,8044870.592102396,6731813.66565126,6731813.66565126
ISIC_0014526,554390227107.2534,4349083.604926294,6523877.061416971,5722077.3140409365,5722077.3140409365
ISIC_0014518,12530950357276.875,2620611.1284347107,14312319.180168707,4014912.6372156227,4014912.6372156227
ISIC_0000307,1299821611412.163,1094647.228005274,4818006.764890014,3177376.4335107137,3177376.4335107137
ISIC_0000003,1255595218490.5955,3882009.1518614166,7260133.112133112,4622899.764943809,4622899.764943809
ISIC_0009872,1655067818871.0103,2873138.6757342797,7905110.848216046,3824147.1175832837,3824147.1175832837
ISIC_0014622,3875186593274.7695,4532365.025815116,9859094.684448754,5460999.634111767,5460999.634111767
ISIC_0013961,116124355813.4685,3838427.2819987885,4922527.553408628,4385403.470261236,4385403.470261236
ISIC_0013783,461745538801.73535,1984275.8576886267,4156988.560423505,3111998.3387478306,3111998.3387478306
ISIC_0015182,592894818015.1372,1685201.1373187678,4166478.4838223127,3055794.4036639095,3055794.4036639095
ISIC_0013580,313891771285.85236,2068049.3687681293,4012260.0547079085,3488288.3736987184,3488288.3736987184
ISIC_0013385,528550947791.0675,1739994.2191097017,4375740.83969051,2857310.593827813,2857310.593827813
ISIC_0014818,1009472018620.5598,3111056.7334144893,5969215.493028163,4433184.586700213,4433184.586700213
ISIC_0013160,2611672951198.7397,62.54927999974103,4970361.514698623,2419973.5467292066,2419973.5467292066
ISIC_0001140,2062048339505.1763,1674066.2648450655,5658559.345574268,2299866.2869819296,2299866.2869819296
ISIC_0013558,3974619741078.59,2380718.2077362407,9456054.618431984,3899098.239823468,3899098.239823468
ISIC_0013765,487839744857.45734,2091282.713143563,4479332.548294411,4048021.927074597,4048021.927074597
ISIC_0010215,432239802492.48254,2653953.297455449,4695521.61517513,3595590.558097313,3595590.558097313
ISIC_0010028,1166838060647.3672,2581279.1622564103,6257651.537593689,4243333.110911243,4243333.110911243
ISIC_0015260,6317250349530.855,25.88384857971104,8020270.713655798,3408979.844879896,3408979.844879896
ISIC_0010016,5643967682883.536,2403410.9219509335,10221605.383277709,5999604.050354236,5999604.050354236
ISIC_0013461,488113777088.0668,2143962.056914554,4625228.00544041,3297170.597821407,3297170.597821407
ISIC_0013059,272796957597.55612,2542386.2964691347,3822530.2448856616,3424751.2014048984,3424751.2014048984
ISIC_0013684,266654998631.7457,2270745.924665475,3822507.4418732477,3330310.005963021,3330310.005963021
ISIC_0013487,877177096488.1111,2432282.3251678087,5273686.251927203,3930407.2483980353,3930407.2483980353
ISIC_0012879,302628668490.3819,1605753.7494908127,3586417.64895245,2856435.4794893814,2856435.4794893814
ISIC_0010192,1112734928433.489,1905170.2884477724,4824420.510708689,2983128.9332907693,2983128.9332907693
ISIC_0014843,921446287644.2695,1625464.1495127103,4941321.022275211,3401738.395634049,3401738.395634049
ISIC_0013306,520926422987.5813,3109809.1456599287,5700575.8597374745,3812994.8418374485,3812994.8418374485
ISIC_0010174,2324690056216.3716,2486171.6915906128,7619452.6900260765,4474325.906203825,4474325.906203825
ISIC_0007322,1807444382567.8386,4251514.357714074,7774348.264412041,5220694.200786392,5220694.200786392
ISIC_0012998,4007877638303.53,3822657.2698026244,9658215.907728113,5969319.123677401,5969319.123677401
ISIC_0013639,1282547579902.2239,2635835.0242760875,6323990.20102478,4595999.214962647,4595999.214962647
ISIC_0015006,960131326765.1622,3794068.165309039,6469722.847102387,4858589.903573966,4858589.903573966
ISIC_0015038,1634737659329.9116,2319189.6048911307,6200995.615233524,2650538.021276969,2650538.021276969
ISIC_0010475,3660714360449.2407,3777780.074095555,9901862.085284807,6058707.984557385,6058707.984557385
ISIC_0013201,1009721141938.0206,3581366.445826041,6869530.155168708,4324391.4096742505,4324391.4096742505
ISIC_0006982,1831599645128.6943,3814873.705375037,7784505.87346704,5268744.689253182,5268744.689253182
ISIC_0010493,842823713225.0001,2132860.092978444,4915326.36678948,3711435.6792938914,3711435.6792938914
ISIC_0012940,962984162559.3342,4256927.374506714,6980501.485122665,5179939.989684148,5179939.989684148
ISIC_0000384,932784484975.0188,3184752.1589052286,6333294.698578713,3687098.038595898,3687098.038595898
ISIC_0013803,1180855821540.697,2921356.0882596453,6258297.053154496,4741425.991361705,4741425.991361705
ISIC_0014346,837286818590.2628,1998907.9868595349,4736350.453372543,2770941.8676945902,2770941.8676945902
ISIC_0012744,147489367697.0127,2223150.1846454833,3363502.174897119,2704745.0444916687,2704745.0444916687
ISIC_0011333,1494301349265.175,2621033.519044239,5964242.407703723,3959328.271874171,3959328.271874171
ISIC_0011130,687976186217.5625,2663778.826663327,5642284.833218513,3736083.238992923,3736083.238992923
ISIC_0012342,1716457097189.636,1738173.914762242,5547960.148855055,3346735.6771848444,3346735.6771848444
ISIC_0009910,1280425878402.3118,2286936.795488968,5451070.83484281,3559491.4946119366,3559491.4946119366
ISIC_0000161,1626235543446.4639,1461749.9970720073,5460234.684681807,2876471.253154247,2876471.253154247
ISIC_0012141,374668147509.057,1662883.9063309839,3706044.9511976554,2478766.198775703,2478766.198775703
ISIC_0014543,1408299519888.4912,3535947.4002210614,6592136.008751609,4223999.809941706,4223999.809941706
ISIC_0000265,1004294153064.889,2356432.456902887,5291571.084553806,3259773.5130708665,3259773.5130708665
ISIC_0012245,463300922210.096,3546236.5134430225,5422536.581715899,3868652.912095962,3868652.912095962
ISIC_0000066,1318879398104.0193,1667283.9906135565,4746396.53483631,2562106.258528248,2562106.258528248
