image_id,ratio
ISIC_0015483,135852416
ISIC_0012547,5527396
ISIC_0012684,17867834
ISIC_0012160,4147101
ISIC_0012201,4856007
ISIC_0014038,21234581
ISIC_0014302,13900646
ISIC_0012306,3191234
ISIC_0013632,26704381
ISIC_0014211,21519684
ISIC_0014608,14551332
ISIC_0001852,10283927
ISIC_0013215,18565197
ISIC_0015211,279978745
ISIC_0014857,209507928
ISIC_0014037,152143316
ISIC_0013793,8279097
ISIC_0014931,212804781
ISIC_0007332,7431653
ISIC_0007235,4182125
ISIC_0012151,30785624
ISIC_0014572,3453948
ISIC_0007528,3002718
ISIC_0012876,1457989
ISIC_0007796,3523568
ISIC_0014829,65359320
ISIC_0012316,1649210
ISIC_0012513,26780648
ISIC_0015124,173689172
ISIC_0013518,71941016
ISIC_0013421,30662648
ISIC_0012965,454215
ISIC_0014558,37876273
ISIC_0012400,55420305
ISIC_0013562,6876716
ISIC_0014618,7652683
ISIC_0003657,6030286
ISIC_0015445,988871697
ISIC_0015043,101810531
ISIC_0015144,46356918
ISIC_0013104,25270475
ISIC_0014945,33341904
ISIC_0015401,133436807
ISIC_0004337,1987791
ISIC_0007241,4966043
ISIC_0013663,65160871
ISIC_0015062,86223521
ISIC_0012720,17579785
ISIC_0012221,1372189
ISIC_0014623,71293800
ISIC_0014989,96302865
ISIC_0012288,7310613
ISIC_0013828,28845125
ISIC_0014568,5059296
ISIC_0014637,4799113
ISIC_0006914,18647878
ISIC_0015496,97929678
ISIC_0015372,402989936
ISIC_0012313,2430110
ISIC_0014616,1402690
ISIC_0012492,6426372
ISIC_0012210,20133662
ISIC_0013188,912461
ISIC_0013637,6019141
ISIC_0003539,8740042
ISIC_0012254,49565156
ISIC_0015313,280200454
ISIC_0014809,70000149
ISIC_0013549,19978861
ISIC_0014633,1704584
ISIC_0012434,3315407
ISIC_0013863,1624136
ISIC_0007141,12593346
ISIC_0012538,9080468
ISIC_0013945,7174089
ISIC_0012204,2991633
ISIC_0012380,6054894
ISIC_0013527,1025255
ISIC_0015627,73988770
ISIC_0006671,1699176
ISIC_0012956,1843020
ISIC_0013491,4468465
ISIC_0014937,311614031
ISIC_0003462,2617435
ISIC_0014428,2300311
ISIC_0001871,3716997
ISIC_0014712,456492030
ISIC_0013132,3222313
ISIC_0015243,392078550
ISIC_0014601,13417240
ISIC_0012660,5036870
ISIC_0014946,76984451
ISIC_0013501,15097476
ISIC_0013702,52863791
ISIC_0012746,3039469
ISIC_0012143,14738148
ISIC_0014620,2586888
ISIC_0012222,2706456
ISIC_0012126,1931765
ISIC_0012927,44738451
ISIC_0009995,11602964
ISIC_0014624,16798377
ISIC_0014139,11216485
ISIC_0012959,1650559
ISIC_0014985,484450006
ISIC_0014162,6886404
ISIC_0012383,14133218
ISIC_0013651,76686043
ISIC_0014310,2307885
ISIC_0014217,125604500
ISIC_0014611,13277839
ISIC_0013232,9882346
ISIC_0010459,7880120
ISIC_0013010,1821770
ISIC_0008524,16185132
ISIC_0008025,7651963
ISIC_0012335,3253014
ISIC_0007156,2429382
ISIC_0001769,5395354
ISIC_0006651,2410219
ISIC_0012191,5585732
ISIC_0013736,19343734
ISIC_0015256,494475497
ISIC_0014212,171495159
ISIC_0003582,23938906
ISIC_0014635,24298687
ISIC_0014688,619957878
ISIC_0014055,74605032
ISIC_0013082,2365729
ISIC_0007344,11611670
ISIC_0012127,2311424
ISIC_0014178,13522761
ISIC_0014979,242127061
ISIC_0013127,34785241
ISIC_0014382,61279617
ISIC_0012159,7916973
ISIC_0015443,72837178
ISIC_0013644,22285350
ISIC_0012206,8951997
ISIC_0013898,12700121
ISIC_0013561,8520503
ISIC_0012099,1974617
ISIC_0006815,5011606
ISIC_0012109,2461963
ISIC_0012256,22934863
ISIC_0013128,11039910
ISIC_0003805,1551971
ISIC_0014597,1402163
ISIC_0014610,4468889
ISIC_0012417,57574145
