image_id,ratio
ISIC_0009993,4302097
ISIC_0014120,16081282
ISIC_0011155,8037449
ISIC_0012721,9551963
ISIC_0009975,2723206
ISIC_0000104,11860988
ISIC_0014526,5745549
ISIC_0014518,34198528
ISIC_0000307,5832775
ISIC_0000003,3001252
ISIC_0009872,404646
ISIC_0014622,2473845
ISIC_0013961,4463052
ISIC_0013783,63867686
ISIC_0015182,93203840
ISIC_0013580,3980109
ISIC_0013385,22247190
ISIC_0014818,433102309
ISIC_0013160,19503989
ISIC_0001140,15744845
ISIC_0013558,4056370
ISIC_0013765,73713153
ISIC_0010215,2517698
ISIC_0010028,1388066
ISIC_0015260,206902542
ISIC_0010016,1090364
ISIC_0013461,14565926
ISIC_0013059,13658270
ISIC_0013684,5482718
ISIC_0013487,6989712
ISIC_0012879,4197417
ISIC_0010192,3580723
ISIC_0014843,120359265
ISIC_0013306,3554623
ISIC_0010174,2564772
ISIC_0007322,12900953
ISIC_0012998,2404625
ISIC_0013639,12092847
ISIC_0015006,46881375
ISIC_0015038,149015941
ISIC_0010475,2839933
ISIC_0013201,1671753
ISIC_0006982,30381038
ISIC_0010493,3951838
ISIC_0012940,7361442
ISIC_0000384,7450424
ISIC_0013803,1325433
ISIC_0014346,2181825
ISIC_0012744,553181
ISIC_0011333,4011615
ISIC_0011130,2074601
ISIC_0012342,20488494
ISIC_0009910,9386364
ISIC_0000161,7438475
ISIC_0012141,3473570
ISIC_0014543,19178165
ISIC_0000265,3736418
ISIC_0012245,15373014
ISIC_0000066,5680714
ISIC_0000460,4263575
ISIC_0000486,1981122
ISIC_0014299,1018436
ISIC_0000283,1893070
ISIC_0000080,9880890
ISIC_0014658,103246265
ISIC_0000047,6737256
ISIC_0000079,2377745
ISIC_0000244,3730790
ISIC_0011215,781009
ISIC_0012662,1473654
ISIC_0012487,6504248
ISIC_0014286,2124060
ISIC_0000499,3943815
ISIC_0012282,12749273
ISIC_0014680,94834278
ISIC_0010853,819929
ISIC_0000198,466651
ISIC_0000546,4093107
ISIC_0014164,24415509
ISIC_0009931,3659950
ISIC_0000140,23311978
ISIC_0012363,14908990
ISIC_0000343,2114478
ISIC_0013626,27033524
ISIC_0012987,7091985
ISIC_0010251,650786
ISIC_0000999,7923966
ISIC_0013425,12802338
ISIC_0013618,176424607
ISIC_0013220,6892938
ISIC_0014983,169410556
ISIC_0013023,2550801
ISIC_0012961,6366059
ISIC_0008993,7154835
ISIC_0010553,4403684
ISIC_0013124,3594765
ISIC_0012880,4755091
ISIC_0013721,12210724
ISIC_0010356,766262
ISIC_0010368,3003874
ISIC_0013643,8732483
ISIC_0010234,1107057
ISIC_0013498,12327514
ISIC_0014839,82238305
ISIC_0013141,4394655
ISIC_0007760,2720972
ISIC_0013342,4895383
ISIC_0013579,29138791
ISIC_0010333,6449607
ISIC_0014603,20520500
ISIC_0000221,876897
ISIC_0000022,14884416
ISIC_0001960,6975649
ISIC_0011296,1797960
ISIC_0011095,4081643
ISIC_0013879,8740911
ISIC_0012700,3025875
ISIC_0000523,868236
ISIC_0011349,8613179
ISIC_0012503,10476422
ISIC_0000326,1298883
ISIC_0012105,3041470
ISIC_0014507,15883113
ISIC_0012338,4673619
ISIC_0009954,1364112
ISIC_0000125,296362
ISIC_0010342,11832946
ISIC_0014890,34279029
ISIC_0013333,5326461
ISIC_0014848,30051066
ISIC_0010498,1447147
ISIC_0013037,4028111
ISIC_0010078,6483137
ISIC_0010046,3240757
ISIC_0009925,2825380
ISIC_0000154,7579702
ISIC_0014576,3798726
ISIC_0000369,3279015
ISIC_0000357,608381
ISIC_0012377,5613828
ISIC_0014775,421974852
ISIC_0011338,2447149
ISIC_0000552,1903417
ISIC_0011306,5591131
ISIC_0013808,4835735
ISIC_0014395,46222425
ISIC_0013836,2671420
ISIC_0014793,121481665
ISIC_0012391,4229960
ISIC_0010847,3533248
ISIC_0000288,8833690
ISIC_0014694,162936149
ISIC_0012690,9265084
ISIC_0012475,29195144
ISIC_0000455,33290422
ISIC_0014274,2221651
ISIC_0012676,754334
ISIC_0014049,13646146
ISIC_0000053,8054108
ISIC_0000250,5055893
ISIC_0000332,767235
ISIC_0009940,8546256
ISIC_0000131,2630525
ISIC_0014316,25389849
ISIC_0000509,6197542
ISIC_0012529,3378137
ISIC_0011363,8637671
ISIC_0012517,14729388
ISIC_0014328,55717462
ISIC_0009998,900322
ISIC_0000235,1842294
ISIC_0009879,5291859
ISIC_0000008,3030244
ISIC_0014617,898416
ISIC_0000036,10310656
ISIC_0013553,24080276
ISIC_0010327,1318057
ISIC_0013155,330917
ISIC_0013356,5468256
ISIC_0009078,3847118
ISIC_0015189,81059726
ISIC_0013052,15594645
ISIC_0010220,988100
ISIC_0009160,3865937
ISIC_0013690,1630705
ISIC_0013493,79732693
ISIC_0010607,786623
ISIC_0013676,9880580
ISIC_0010201,7384891
ISIC_0010002,3353459
ISIC_0013572,22709538
ISIC_0015170,159999495
ISIC_0010105,1117055
ISIC_0013174,5552920
ISIC_0014832,184463996
ISIC_0013192,707729
ISIC_0013797,11946361
ISIC_0013594,36102280
ISIC_0009880,2665621
ISIC_0013975,6111742
ISIC_0000017,3587633
ISIC_0014636,8540771
ISIC_0000029,6697257
ISIC_0000214,7233055
ISIC_0009961,7570577
ISIC_0000110,8136185
ISIC_0012333,2812261
ISIC_0014731,33939114
ISIC_0006711,6315511
ISIC_0000313,1881256
ISIC_0000516,8172417
ISIC_0006114,5837178
ISIC_0012508,17471065
ISIC_0012735,2258466
ISIC_0000528,2841059
ISIC_0014337,26260772
ISIC_0011199,537317
ISIC_0008626,35867502
ISIC_0009987,6001710
ISIC_0000297,319946
ISIC_0000094,4209727
ISIC_0013910,1938978
ISIC_0000492,1986061
ISIC_0011220,482642
